event_id,start_time,end_time,trade_count,total_volume_eth,total_profit,avg_spread,direction,strong_signal_ratio,arbitrage_type
101,2025-12-02 01:30:11+00:00,2025-12-02 01:30:11+00:00,1,26.663046171891988,50.24249371513986,10.88434934970428,buy,1.0,"Buy on Uniswap, Sell on Binance"
102,2025-12-02 08:18:59+00:00,2025-12-02 08:18:59+00:00,1,6.806418940000001e-09,9.541423937131988e-07,-149.18273076108926,sell,1.0,"Sell on Uniswap, Buy on Binance"
103,2025-12-02 14:06:59+00:00,2025-12-02 14:06:59+00:00,1,1.5998324584380577,3.2242979395477454,11.015397251469494,buy,1.0,"Buy on Uniswap, Sell on Binance"
104,2025-12-02 14:25:59+00:00,2025-12-02 14:25:59+00:00,1,0.0744185545697968,0.20064545251164845,11.696175082565787,buy,1.0,"Buy on Uniswap, Sell on Binance"
105,2025-12-02 14:32:23+00:00,2025-12-02 14:32:23+00:00,1,3.2272451406474194,1.9906119635554522,-9.616814613331826,sell,1.0,"Sell on Uniswap, Buy on Binance"
106,2025-12-02 14:41:47+00:00,2025-12-02 14:41:47+00:00,1,1.1516769795936663,2.759532511707113,11.39609939297452,buy,0.0,"Buy on Uniswap, Sell on Binance"
107,2025-12-02 14:42:11+00:00,2025-12-02 14:42:11+00:00,1,2.3797216964,10.994668061592893,13.620148683026855,buy,1.0,"Buy on Uniswap, Sell on Binance"
108,2025-12-02 14:43:23+00:00,2025-12-02 14:43:23+00:00,1,0.864381570886731,4.801735046682638,14.555110391533162,buy,1.0,"Buy on Uniswap, Sell on Binance"
109,2025-12-02 14:43:59+00:00,2025-12-02 14:43:59+00:00,4,1.7449009090706407,7.541072605297173,13.592329244711323,buy,0.0,"Buy on Uniswap, Sell on Binance"
110,2025-12-02 14:44:11+00:00,2025-12-02 14:44:11+00:00,1,0.3382716042978226,1.3635536477029448,13.030943272739023,buy,0.0,"Buy on Uniswap, Sell on Binance"
111,2025-12-02 14:44:23+00:00,2025-12-02 14:44:23+00:00,1,0.4592592586587367,1.292243463439306,11.813755932135791,buy,0.0,"Buy on Uniswap, Sell on Binance"
112,2025-12-02 14:44:35+00:00,2025-12-02 14:44:35+00:00,6,3.4387327469440985,10.971792777262765,12.28639554229873,buy,0.0,"Buy on Uniswap, Sell on Binance"
113,2025-12-02 14:44:47+00:00,2025-12-02 14:44:47+00:00,4,4.637932021318667,51.69875818410354,20.06076938227625,buy,1.0,"Buy on Uniswap, Sell on Binance"
114,2025-12-02 14:44:59+00:00,2025-12-02 14:44:59+00:00,2,1.599511871784324,13.89175945590452,17.415853932572645,buy,0.0,"Buy on Uniswap, Sell on Binance"
115,2025-12-02 14:45:11+00:00,2025-12-02 14:45:11+00:00,2,2.8384869805142507,9.416867635626653,12.060049601356923,buy,0.0,"Buy on Uniswap, Sell on Binance"
116,2025-12-02 14:46:35+00:00,2025-12-02 14:46:35+00:00,1,5.3878322628,1.7182940223691276,9.318921217023217,buy,0.0,"Buy on Uniswap, Sell on Binance"
117,2025-12-02 14:46:47+00:00,2025-12-02 14:46:47+00:00,1,1.588688774529996,1.6455654556648476,10.0358010216014,buy,0.0,"Buy on Uniswap, Sell on Binance"
118,2025-12-02 14:46:59+00:00,2025-12-02 14:46:59+00:00,2,1.6017691149050737,2.34503518512004,10.544959051449041,buy,0.0,"Buy on Uniswap, Sell on Binance"
119,2025-12-02 14:47:11+00:00,2025-12-02 14:47:11+00:00,1,1.5771319127914194,1.7607459305794229,10.116422739466998,buy,0.0,"Buy on Uniswap, Sell on Binance"
120,2025-12-02 14:54:11+00:00,2025-12-02 14:54:11+00:00,1,34.37704668825,129.03141849383422,-12.753417786698265,sell,0.0,"Sell on Uniswap, Buy on Binance"
121,2025-12-02 14:55:23+00:00,2025-12-02 14:55:23+00:00,1,0.3009728408749999,2.210062637951096,-16.343063352579975,sell,1.0,"Sell on Uniswap, Buy on Binance"
122,2025-12-02 15:06:59+00:00,2025-12-02 15:06:59+00:00,1,1.579602872117915,6.976129636724494,13.416381965279015,buy,0.0,"Buy on Uniswap, Sell on Binance"
123,2025-12-02 15:07:11+00:00,2025-12-02 15:07:11+00:00,1,0.092999995864487,0.27910141552443885,12.001090622962238,buy,0.0,"Buy on Uniswap, Sell on Binance"
124,2025-12-02 15:10:59+00:00,2025-12-02 15:10:59+00:00,1,1.5568861947589463,0.7832360555272195,9.503078553952037,buy,0.0,"Buy on Uniswap, Sell on Binance"
125,2025-12-02 15:11:11+00:00,2025-12-02 15:11:11+00:00,1,1.5657689744205692,5.887988239069694,12.760445081783928,buy,0.0,"Buy on Uniswap, Sell on Binance"
126,2025-12-02 15:11:35+00:00,2025-12-02 15:11:35+00:00,1,0.2753584892510782,0.09699982861006451,9.352267434622718,buy,0.0,"Buy on Uniswap, Sell on Binance"
127,2025-12-02 15:11:47+00:00,2025-12-02 15:11:47+00:00,1,1.5641154858171609,11.96405718308377,16.649088121414024,buy,0.0,"Buy on Uniswap, Sell on Binance"
128,2025-12-02 15:11:59+00:00,2025-12-02 15:11:59+00:00,1,1.5695810616669073,17.12819538112307,19.912590499106045,buy,1.0,"Buy on Uniswap, Sell on Binance"
129,2025-12-02 15:12:11+00:00,2025-12-02 15:12:11+00:00,1,1.574211987688153,16.250265297824583,19.322793515052126,buy,0.0,"Buy on Uniswap, Sell on Binance"
130,2025-12-02 15:12:35+00:00,2025-12-02 15:12:35+00:00,3,1.8811324785833858,6.3336902460768245,10.416338112823723,buy,0.0,"Buy on Uniswap, Sell on Binance"
131,2025-12-02 15:12:47+00:00,2025-12-02 15:12:47+00:00,1,1.455418738784874,5.102898075528903,12.506137401933756,buy,0.0,"Buy on Uniswap, Sell on Binance"
